Column1,Column2,Column3,Column4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
0,0,MATCH,4
1,0,NOT MATCH,4
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
0,0,MATCH,3
1,0,NOT MATCH,3
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
0,0,MATCH,2
1,0,NOT MATCH,2
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
0,0,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
1,1,MATCH,1
0,1,NOT MATCH,1
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
1,1,MATCH,0
